CodigoEstacion;CodigoSensor;FechaObservacion;ValorObservado;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud;DescripcionSensor;UnidadMedida
24035340;71;7/08/2024 10:44;188;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:46;176;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:46;185;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:48;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:48;177;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:50;183;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:50;175;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:52;182;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:52;178;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:54;177;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:54;183;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:56;177;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:56;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 10:58;188;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 10:58;182;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
26085160;68;7/08/2024 11:00;271;SILOE;VALLE DEL CAUCA;CALI;CAUCA;34255;-7656061111;TEMPERATURA DEL AIRE A 2 m;øC
35195060;68;7/08/2024 11:00;127;TOQUILLA;BOYACµ;AQUITANIA;META;5523611111;-7279097222;TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:00;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;68;7/08/2024 11:00;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;TEMPERATURA DEL AIRE A 2 m;øC
35165000;68;7/08/2024 11:00;151;EL TUNEL;BOYACµ;CUÖTIVA;META;5574972222;-72941;TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:00;181;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
35235010;68;7/08/2024 11:00;62;CARDON EL;BOYACµ;SOCOTµ;META;6011666667;-7252927778;TEMPERATURA DEL AIRE A 2 m;øC
2403000117;68;7/08/2024 11:00;181;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:02;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:02;179;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:04;18;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:04;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:06;181;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:06;184;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:08;184;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:08;178;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:10;18;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:10;184;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:12;184;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:12;173;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:14;184;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:14;175;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:16;181;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:16;185;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:18;18;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:18;188;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:20;187;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:20;181;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:22;185;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:22;187;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:24;187;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:24;186;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:26;187;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:26;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:28;185;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:28;185;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:30;188;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:30;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:32;19;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:32;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:34;184;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
2403000117;71;7/08/2024 11:34;185;PM LA LAGUNA;BOYACµ;GUACAMAYAS;SOGAMOSO;6447166667;-72497694444;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
24035340;71;7/08/2024 11:36;186;AEROPUERTO A LLERAS C;BOYACµ;SOGAMOSO;SOGAMOSO;5676944444;-7296791667;GPRS - TEMPERATURA DEL AIRE A 2 m;øC
