CodigoEstacion;CodigoSensor;FechaObservacion;ValorObservado;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud;DescripcionSensor;UnidadMedida
21205522;68;07/01/2019 10:20:00 PM;11534;TABIO  - AUT;CUNDINAMARCA;TABIO;ALTO MAGDALENA;4918;-74029;Temp Aire 2 m;°C
21205516;68;01/21/2020 08:00:00 AM;1648;NEGRETE  - AUT;CUNDINAMARCA;PACHO;ALTO MAGDALENA;5173;-73852;Temp Aire 2 m;°C
21195501;68;01/21/2020 09:00:00 AM;2224629;GRANJA TIBACUY  - AUT;CUNDINAMARCA;TIBACUY;ALTO MAGDALENA;4363052778;-7443527778;Temp Aire 2 m;°C
24015506;68;07/01/2019 04:00:00 PM;15;CAPELLANIA - CAR;CUNDINAMARCA;FÚQUENE;SOGAMOSO;5449;-73769;Temp Aire 2 m;°C
21205519;68;01/21/2020 10:00:00 AM;16742;SAN FORTUNATO  - AUT;CUNDINAMARCA;SIBATÉ;ALTO MAGDALENA;4452;-74272;Temp Aire 2 m;°C
24015507;68;01/21/2020 02:50:00 PM;12078;OJO DE AGUA  - AUT;CUNDINAMARCA;SIMIJACA;SOGAMOSO;5392;-73854;Temp Aire 2 m;°C
21205910;68;01/21/2020 03:00:00 AM;93;LA COSECHA - AUT;CUNDINAMARCA;ZIPAQUIRÁ;ALTO MAGDALENA;4989222222;-7400119444;Temp Aire 2 m;°C
35075090;68;01/21/2020 01:30:00 PM;18678;MACHETA - CHIVOR;CUNDINAMARCA;MACHETÁ;META;5083;-7365;Temp Aire 2 m;°C
21206980;68;01/21/2020 03:00:00 PM;133;SANTA CRUZ DE SIECHA  - AUT;CUNDINAMARCA;GUASCA;ALTO MAGDALENA;4784277778;-7387080556;Temp Aire 2 m;°C
21205513;68;07/01/2019 08:30:00 AM;14316;LA RAMADA  - AUT;CUNDINAMARCA;FUNZA;ALTO MAGDALENA;4505;-74184;Temp Aire 2 m;°C
21206990;68;01/21/2020 07:00:00 PM;133;TIBAITATA - AUT;CUNDINAMARCA;MOSQUERA;ALTO MAGDALENA;4691416667;-74209;Temp Aire 2 m;°C
